order,author,Book_name,recommend,Reading_people,info,cover
21,余华,余华作品全集（《活着》等 13 册）,87.1%,5692,本套装收入了余华《活着》、《许三观卖血记》、《兄弟》等13部经典代表作品。,https://wfqqreader-1252317822.image.myqcloud.com/cover/115/23523115/t6_23523115.jpg
22,蒋勋,蒋勋说红楼梦（套装共8册）,87.2%,2530,这是蒋勋在长达半个世纪的时间里，数十次阅读《红楼梦》后的心血之作。无关红学，不涉及考证，作者从青春与美的角度出发，带领读者逐字逐句细读小说本身，梳理《红楼梦》中的人物与情感，探寻书中表达的繁华的幻灭、逝去的哀伤，讲述青春的孤独、寂寞与彷徨。这是一个生命对其余生命的叩问与聆听。跟蒋勋读《红楼梦》，仿佛是在阅读自己的一生。蒋勋说：我是把《红楼梦》当“佛经”来读的，因为处处都是慈悲，也处处都是觉悟。,https://wfqqreader-1252317822.image.myqcloud.com/cover/142/23444142/t6_23444142.jpg
23,阎真,沧浪之水,86.3%,3515,这是一部令人惊骇的小说，有一种道破天机的意味。作者以犀利如刀的文笔和生动逼真的描写，写出省卫生厅公务员、医药学研究生池大为从无职无权、空怀壮志，到时来运转、大展宏图的过程。酸甜苦辣的人生况味，险象环生的升迁之路．你死我活的灵魂搏斗，人情冷暖世态炎凉，无不夺人心魄、发人深思。每个人都能从书中看到社会，找到自己的影子。此书口碑爆棚，是近十余年来唯一持续畅销的当代作家原创长篇小说之一，已由人民文学出版社再版了66次，销量破百万。此书已改编成电视剧《岁月》，由胡军、梅婷、于和伟、王彤主演。,https://wfqqreader-1252317822.image.myqcloud.com/cover/73/674073/t6_674073.jpg
24,江南,龙族（1-4合集）,89.4%,5463,累计销售量达千万册的青春幻想小说，被誉为“东方的《哈利·波特》”，作者江南本人获得2013年中国作家富豪榜榜首的荣誉。主角路明非原本只是一个普通的高中生，在申请留学的时候收到了来自屠龙学院——卡塞尔学院的来信，从此开启了他不平凡的人生，在伙伴陈墨瞳、楚子航、恺撒等人的帮助下，属于龙族的神秘世界逐渐在他们面前展开，路明非神秘莫测的身世也慢慢浮出水面。,https://wfqqreader-1252317822.image.myqcloud.com/cover/334/933334/t6_933334.jpg
25,白姬绾,缥缈（合集）,89.3%,1610,盛唐，长安，百鬼夜行，千妖伏聚。西市坊间，阴阳交界处，有一座神秘虚无的缥缈阁。缥缈阁中，贩卖奇珍异宝，七情六欲。人，妖，鬼，神往来其间。缥缈阁在哪里？无缘者，擦肩难见；有缘者，千里来寻。世间为什么要有缥缈阁？众生有了欲望，世间便有了缥缈阁。,https://wfqqreader-1252317822.image.myqcloud.com/cover/495/25071495/t6_25071495.jpg
26,马伯庸,显微镜下的大明,85.1%,2000,本书讲述的，是六个深藏于故纸堆中的明代基层政治事件。作者从明代的一系列罕见民间档案文书里，挖掘出这些尘封已久的故事。这些档案是中国历史中绝无仅有的奇迹，它们着眼于平民的政治生活，而且记录极为详尽。在这里，我们能看到朴实的百姓诉求、狡黠的民间智慧、肮脏的胥吏手段、微妙的官场均衡之术，从无数个真实的细节里，展现出一幅极其鲜活的政治生态图景。这六个事件聚焦于一府一县乃至一村之内，记录的是最底层平民的真实政治生活：当遭遇税收不公时，他们如何愤起抗争；当家族权益受到损害时，他们如何兴起诉讼；当政治利益与商业利益发生矛盾，他们如何与官府周旋博弈；当朝廷要求整顿户籍，他们又是如何从中造假牟利……《学霸必须死——徽州丝绢案始末》：万历年间，一项不公正的税收政策在徽州府引发了旷日持久的混乱。乱民、县官、州府、户部、首辅、皇帝等诸多利益集团的博弈之局。《笔与灰的抉择——婺源龙脉保卫战》：婺源县一场持续了六十四年的经济争端，反映了一个县级官员，是如何在重大议题上平衡一县之利害的。《谁动了我的祖庙——杨干院律政风云》：歙县一桩民间庙产争夺案。诉讼双方在这场绵延八年的官司中各展所长，用尽心思，上演了一场精彩绝伦的嘉靖法律大戏。《天下透明——大明第一档案库的前世今生》：一个坐落于后湖（玄武湖）中的冷门机构——大明黄册库从建立到衰败的全过程。了解明代的基层统治，是如何一步步垮掉的。《胥吏的盛宴——彭县小吏舞弊案》：一件小到不能再小的官司，却引来了无数贪婪蚊虫的叮咬。胥吏之恶，被刻画得淋漓尽致。《正统年间的四条冤魂》：四个无辜的清白老百姓，是如何裹挟入朝廷斗争的。作者力图以冷静克制的零度叙事，替那些生于尘埃、死于无闻的蝼蚁之辈作传，转述他们湮没于宏达历史中的声音。想要读懂大明，想要读懂中国古代政治，不可只注目于朝堂，亦要听到最底层的呐喊。在一个个普通人的遭遇中，才蕴藏着最真实的规律。,https://wfqqreader-1252317822.image.myqcloud.com/cover/813/24129813/t6_24129813.jpg
27,吴承恩,西游记,88.9%,2102,梦回坎坷艰难的西行，在神魔仙境中畅游，与孙大圣一起龙宫寻宝，大闹天宫，修改生死簿；与唐僧一起去取经西方，看途中风土人情；还有好吃懒做的猪八戒与辛劳的沙僧！偷吃人参果，三打白骨精，莲花洞降妖，收服红孩儿，女儿国奇遇……世界上最经典的神话传奇故事，你不得不看。,https://wfqqreader-1252317822.image.myqcloud.com/cover/418/139418/t6_139418.jpg
28,陀思妥耶夫斯基,罪与罚,91.8%,2458,小说描写穷大学生拉斯柯尔尼科夫受无政府主义思想毒害，认为自己是个超人，可以为所欲为。为生计所迫，他杀死放高利贷的老太婆阿廖娜和她的无辜妹妹丽扎韦塔，制造了一起震惊全俄的凶杀案。经历了一场内心痛苦的忏悔后，他最终在基督徒索尼雅姑娘的规劝下，投案自首，被判流放西伯利亚。作品着重刻画主人公犯罪后的心理变化，揭示俄国下层人民的苦难生活。,https://wfqqreader-1252317822.image.myqcloud.com/cover/789/23303789/t6_23303789.jpg
29,简·奥斯丁,傲慢与偏见,88.7%,1548,《傲慢与偏见》主要讲了奥斯丁的讽刺艺术，不仅表现在某些人物的喜剧性格上，也不仅表现在众多情节的喜剧性处理上，而且还融汇在整个故事的反讽构思中，让现实对人们的主观臆想进行嘲讽。男主角达西最初断定，贝内特家有那么多不利因素，几个女儿很难找到有地位的男人，可后来恰恰是他娶了伊丽莎白。而伊丽莎白呢，她曾发誓决不嫁给达西，可最后还是由她做了达西夫人。再看看那个不可一世的凯瑟琳·德布尔夫人，为了阻止伊丽莎白与她外甥达西攀亲，她不辞辛劳，亲自出马，先是跑来威吓伊丽莎白，继而跑去训诫达西，殊不知正是她这次奔走为两位默默相恋的青年通了信息，促成了他们的美满结合。,https://wfqqreader-1252317822.image.myqcloud.com/cover/166/813166/t6_813166.jpg
30,尹建莉,好妈妈胜过好老师：一个教育专家16年的教子手记,88.6%,1254,《好妈妈胜过好老师》是尹建莉第一部家庭教育著作，是中国家庭教育里程碑之作。2009年一经出版发行，即引起巨大轰动，数年来一直高居各大畅销榜前列，数次登上几大畅销榜榜首，荣获二十多项大奖。在家教类别图书中则是恒定的榜首常青树。受到各学历层次、各年龄层面、各种人群的普遍欢迎。《好妈妈胜过好老师》既有国际视野，又具中国传统文化精髓，紧贴现实生活，颠覆了许多流传已久的错误教育观念，展示了正确教育的做法和魅力。首次把家庭教育著作提升到专业化高度，且文笔流畅，可读性强，改变了长期以来教育专业著作远离生活的现象。本书融专业性、实用性与文学性于一体，在普及优质家庭教育理念方面形成广度和深度，直接推动了中国家庭教育的进步，标志着中国家庭教育理念开始和世界先进水平接轨。,https://wfqqreader-1252317822.image.myqcloud.com/cover/682/174682/t6_174682.jpg
