order,author,Book_name,recommend,Reading_people,info,cover
41,罗伯特·戴博德,蛤蟆先生去看心理医生,89.7%,10418,蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢。他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨询师苍鹭的带领下，勇敢地探索了自己的内心世界，也逐渐找回了信心与希望……为了向大众读者普及心理学知识，作者借用了英国文学经典《柳林风声》的故事主角，让蛤蟆先生和他的朋友们再次登场，演绎了这个关于心理咨询的故事。读者犹如亲临现场，体验心理咨询的每一个细节，见证疗愈和改变的发生。作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，以及如何才能在心理上真正长大成人，独立、自信、充满希望地生活。,https://wfqqreader-1252317822.image.myqcloud.com/cover/88/35551088/t6_35551088.jpg
42,岸见一郎 古贺史健,被讨厌的勇气：“自我启发之父”阿德勒的哲学课,85.8%,16052,一名深陷自卑、无能与不幸福的青年，听到了一名哲人主张的“世界无比单纯，人人都能幸福”便来挑战，两人展开了你来我往的思考和辩论，在一夜一夜过去后，青年开始思考，为什么“所谓的自由，就是被别人讨厌”？问题不在于世界是什么样子，在于你是什么样子。,https://wfqqreader-1252317822.image.myqcloud.com/cover/385/25615385/t6_25615385.jpg
43,顾漫,你是我的荣耀（杨洋、迪丽热巴主演）,89.5%,726,同名电视剧2021年7月26日腾讯视频独播。十年过去，乔晶晶意外的星光闪耀，高中拒绝过她的男神却似乎已经泯然众人……时光匆匆，你依旧在我心中闪耀，我是否也能成为你的荣耀？是乔晶晶。高考一别以来，他们已经有十年没见了。或者这么说也不对，其实他到处可以见到她，在各种新闻媒体、各种大小屏幕，甚至地铁广告、公车站牌上，处处都有她的身影。看着不远处那个朝他盈然而笑的女子，于途不能免俗地恍惚地觉得——他大概遇见了一个奇遇。乔晶晶也在看着于途，她想，有句话，很流行的，怎么说来着。哦，好像是——归来仍是少年。她在滚滚红尘中奔波名利，而这个人却一如既往，眼神清澈。,https://wfqqreader-1252317822.image.myqcloud.com/cover/8/25878008/t6_25878008.jpg
44,史铁生,我与地坛,88.4%,1724,要是有些事我没说，地坛，你别以为是我忘了，我什么也没忘；但是有些事只适合收藏，不能说，不能想，却又不能忘。《我与地坛》是史铁生文学作品中，充满哲思又极为人性化的代表作之一。其前两段被纳入人民教育出版社的高一教材中。前两部分注重讲地坛和他与母亲的后悔，对中学生来说，这是一篇令人反思的优秀文章。,https://wfqqreader-1252317822.image.myqcloud.com/cover/44/674044/t6_674044.jpg
45,张嘉佳,云边有个小卖部,85.8%,3595,张嘉佳全新作品。畅销千万现象级作品《从你的全世界路过》后，暌违五年，写给离开我们的人，写给陪伴我们的人，写给每个人心中的山和海。希望和悲伤，都是一缕光。总有一天，我们会再相遇。,https://wfqqreader-1252317822.image.myqcloud.com/cover/558/23233558/t6_23233558.jpg
46,黄仁宇,万历十五年（精装版）,83.9%,2042,热播反腐剧《人民的名义》多次提到《万历十五年》，为什么这么多人研究这本书呢？此书是美籍华裔历史学家黄仁宇先生的成名之作，也是他的代表作之一，融会黄先生数十年人生经验与治学体会与一体，首次以“大历史观”分析明代社会之症结，观察现代中国之来路，发人深思。书名虽为万历十五年，然而其内容却俯瞰了整个明朝的兴衰，并且告诉我们与以往历史书中不同的海瑞、张居正……读黄仁宇的书，你会深刻体会“历史给人以智慧”。这是一部打开中国人视野的经典之作，被誉为“像一道匕首，撕开了由意识形态统治历史写作的铁幕”。史景迁、牟复礼、杨联陞、刘志琴、陈学霖、赵世瑜、朱学勤、杨念群、江晓原、萧功秦、商传、樊树志、毛佩琦、厄普代克、王小波、王朔、谢冕、易中天、吴思等国内外众多名家一致推荐！,https://wfqqreader-1252317822.image.myqcloud.com/cover/995/840995/t6_840995.jpg
47,张纯如,南京大屠杀,96.0%,969,1937年12月，日军攻入中国古都南京。几周之内，30多万中国平民和士兵遭到有计划地强暴、折磨和屠杀——死亡人数超过广岛和长崎原子弹爆炸遇难人数的总和。 张纯如不仅在书中详述了日军疯狂暴行的细节，而且分析了在军国主义文化背景下成长起来的日本士兵对人类生命的漠视。张纯如对南京大屠杀的幸存者进行了大量采访，并首次发掘了许多重要文献。全书先是从日本士兵、军官为什么完全脱离了人类基本的行为规范，日本学校和教科书从心理层面向学生灌输对中国人民的仇恨和蔑视，以及高度军事化的教育体制等多个方面阐述了南京大屠杀发生的根源性原因。,https://wfqqreader-1252317822.image.myqcloud.com/cover/151/718151/t6_718151.jpg
48,老舍,骆驼祥子,89.0%,640,本书叙述了一名年轻好强、充满生命活力的人力车夫，希望以个人的奋斗改变自己卑贱地位的故事。小说突出地表现了作家对于城市贫民的真挚同情和深刻理解，是20世纪30年代中国优秀的作品之一，也是现代中国杰出的长篇小说之一，成为老舍的主要代表作，它奠定了老舍在中国现代文学史上的重要地位。20世纪40年代《骆驼祥子》被译成英文以后，也赢得了外国读者的喜爱。,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/22910727/t6_22910727.jpg
49,刘慈欣,三体前传：球状闪电,88.8%,950,没有《球状闪电》，就没有后来的《三体》！《三体》前传！亚洲首位雨果奖得主刘慈欣的三大长篇之一！（《三体》《球状闪电》《超新星纪元》）《球状闪电》拥有最狂野的想象力！带你从另一个维度观察世界！全面展现刘慈欣对人生的终极思考！《三体》中解决可控核聚变的顶级物理学家丁仪，正是《球状闪电》中找到球状闪电的关键人物。《三体》中一号面壁人的幽灵军队计划，正是来自于《球状闪电》。《球状闪电》中的疑似宇宙观察者，为《三体》中的智子出现铺陈了线索。《球状闪电》和《三体》是刘慈欣两个不同时期的巅峰之作，《球状闪电》是他对人生的终极思考，《三体》则是他对宇宙的终极思考。过一个美妙的人生并不难，关键在于你迷上的是什么。某个离奇的雨夜，一颗球状闪电在一瞬间将少年的父母化为灰烬，而他们身下的板凳却分毫无损。从此少年踏上了研究球状闪电的旅程，死亡者的幽灵笔迹、前苏联的地下科技城、次世代的世界大战……球状闪电意外成为了战争中决定祖国存亡的终极武器！一个从未有人想像过的未来，在宇宙观察者的注视下，悄然降临在人类面前……,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/25504039/t6_25504039.jpg
50,林奕含,房思琪的初恋乐园（精编版）,92.1%,2754,补习班国文名师李国华是同一栋高级住宅的邻居，崇拜文学的房思琪同样崇拜饱读诗书的李老师。怡婷是思琪的同龄伙伴，童年对爱情的向往移情到老师身上，嫉妒便横亘在她们之间。当李国华被思琪、怡婷视为可亲可敬的老师时，李国华却将尽心竭力购置的书架、四处搜罗的小说作为其助演的道具。在他的侵犯下，思琪饱受恐惧和折磨，偷偷暗示父母李国华的所作所为，父母却相信为人师表的外人。思琪把她的遭遇当成别人的事情讲给父母听，父母却说这女孩这么小年纪就很“骚”。怡婷目睹思琪南辕北辙，但她不知思琪承受的羞耻和屈辱正是来自这位“讲台权杖”的压榨。这些隐秘，直到房思琪在山中发疯，并被送入精神病院，怡婷翻开思琪的日记才揭晓。,https://wfqqreader-1252317822.image.myqcloud.com/cover/126/32206126/t6_32206126.jpg
51,天然,生活蒙太奇,92.4%,1027,《生活蒙太奇》是一部充满奇妙质感的绘本作品，每天都有无数年轻人转发或评论它的精彩画面或动图。#生活蒙太奇#在全球社交媒体上有超过1345万以上的话题阅读（包括但不限于新浪微博、Instagram等），关于静下来，看见平凡生活的美好，治愈自己，以及重新出发。《生活蒙太奇》的作者天然是一位从三岁开始专心画画的年轻女孩。那些在普通人看来平淡无奇的日子：晒在午后三点的阳光下，雨天一个人读书，抬头遇见初雪……作者把这些单独静止的画面，通过独特想象力和洞察力的艺术加工，画成可以阅读的，充满故事感的连续绘画作品，仿佛一部生活电影的蒙太奇（通过对生活片段的拼接，产生独特意义）。读者静下心来读一读，会从画面故事里得到一种前所未见的生活平静之美和细节之美。,https://wfqqreader-1252317822.image.myqcloud.com/cover/727/33514727/t6_33514727.jpg
52,莫言,晚熟的人（莫言诺奖后首部作品）,88.0%,1933,从《红高粱》到《晚熟的人》，从历史深处到当下现实，从开天辟地到气象万千。依然是读者熟悉的那个莫言，却带给我们陌生惊喜的阅读体验。本书收录了诺贝尔文学奖得主莫言全新创作的中短篇小说12篇，都是莫言说给大家的“新故事”，依然取材自“故乡人事”，但面貌全新——聚焦当下，融入对于时代新生问题的观察与思考。12个故事篇幅紧凑，却各有曲直，新鲜的、骁勇的、星罗棋布的叙述里塑造了一系列“应时而变”的人物，他们像是从我们身边走出来的人，健步如飞，从小说的这头一直奔跑到小说的那一头，从红高粱的历史来到红唇绿嘴的当下。阅读莫言总是刺激的，他的小说世界立体而完整，最终的结果总让我们大惊失色。,https://wfqqreader-1252317822.image.myqcloud.com/cover/242/37045242/t6_37045242.jpg
