order,author,Book_name,recommend,Reading_people,info,cover
171,岸见一郎 古贺史健,幸福的勇气：“自我启发之父”阿德勒的哲学课2,88.9%,770,《幸福的勇气》是“勇气两部曲”的下卷、完结篇。同样以百年前心理学者阿德勒思想为核心，以“青年和哲人的对话”故事形式展现。在上次谈话的3年之后，青年已经辞去图书管理员工作，成为了一名小学老师。但是再次出现在哲人面前的他，经历了许多现实（在工作当中）的摧残，对于当初的理想已经感到绝望了：“阿德勒的思想，在外面的世界没有意义。”“猛药”级的哲学对谈，再度开始……如果说《被讨厌的勇气》是地图，《幸福的勇气》就是行动指南。《被讨厌的勇气》探究「该怎么做，人才能获得自由？」《幸福的勇气》探究「该怎么做，人才能变得幸福？」在上次谈话的3年之后，青年已经辞去图书管理员工作，成为了一名小学老师。但是再次出现在哲人面前的他，经历了许多现实（在教育工作当中）的摧残，对于当初的理想已经感到绝望了。“阿德勒的思想，在外面的世界没有意义。”“你对阿德勒的思想存在误解”“猛药”级的哲学对谈，再度开始……,https://wfqqreader-1252317822.image.myqcloud.com/cover/647/32486647/t6_32486647.jpg
172,蒙曼,武则天,89.8%,1192,她是怎样从唐太宗的才人，变成唐高宗的皇后？她为什么要突破人伦的底线，杀死自己的亲生儿女？她怎么能够在一个千百年来都由男人统治的世界里，成为一代女皇？她的大周王朝如日中天，怎么又会及身而止，不能传之后世？她推翻了李唐王朝，建立了武周王朝，为什么李唐的子孙又始终对她尊奉有加，把她当作自己的皇帝？武则天的智慧和韬略，令男权社会的须眉俯首称臣。1300年来，武则天是历史，也是传奇，她的历史功过，犹如那块“无字碑”，任由后人评说。蒙曼老师抽丝剥茧、引经据典，解读空前绝后的一代女皇武则天。豆瓣读者评分达8.2分。,https://wfqqreader-1252317822.image.myqcloud.com/cover/881/39421881/t6_39421881.jpg
173,史蒂夫·斯托加茨,微积分的力量,91.1%,783,微积分是人类历史上的伟大思想成就之一，也是数学领域不可或缺的一个重要分支。除此之外，我们更应该关注的事实是：如果没有微积分，人类就不可能发明电视、微波炉、移动电话、GPS、激光视力矫正手术、孕妇超声检查，也不可能发现冥王星、破解人类基因组、治疗艾滋病，以及弄明白如何把5000首歌曲装进口袋里。在《微积分的力量》书中，应用数学家兼“导游”斯托加茨将用一种“讲故事”和“看展览”的方式为你一一揭晓答案。“我们不必为了理解微积分的重要性而学习如何做运算，就像我们不必为了享用美食而学习如何做佳肴一样。我将借助图片、隐喻和趣闻逸事等，尝试解释你们需要了解的关于微积分的知识。我也会给你们介绍有史以来颇为精致的一些方程和证明，就像我们在参观画展的时候不会错过其中的代表作一样。”在高中和大学时期，尽管我们中的许多人都对这门课程退避三舍，但斯托加茨用一种新颖独特和接地气儿的方式给我们讲述了微积分的历史。,https://wfqqreader-1252317822.image.myqcloud.com/cover/21/36968021/t6_36968021.jpg
174,法医秦明,法医秦明：玩偶,87.3%,770,本书是法医秦明系列·众生卷第3季。众生皆有面具，一念之间，人即是兽。某居民楼，一个女孩听到隔壁的吵闹消失后，楼下传来了沉重的落地声；某个夏夜，一名男子带着两个行李箱离开家门，妻子的下落至今无人知晓；公园河边，携手游玩的年轻夫妇，忽然齐齐坠落水中，再没有浮出水面……“如果我死了，请调查我的丈夫！”一本写满预言的日记，字里行间散布求救信息，它的主人究竟是谁？两个下落不明的女人，横跨十八年的遥遥相望，她们到底分享了什么秘密？屋檐之下的暴力，无声无息；皮囊之下的枯骨，如影随形。彼岸花暗中盛放，精致的玩偶面无表情。而不看到最后，你永远不会知道——玩偶的里面藏着什么。,https://wfqqreader-1252317822.image.myqcloud.com/cover/668/40272668/t6_40272668.jpg
175,柯南·道尔,福尔摩斯探案全集,94.0%,1274,《福尔摩斯探案全集》完整收录《血字的研究·四签名》《福尔摩斯冒险史》《福尔摩斯回忆录》《福尔摩斯归来记》《巴斯克维尔的猎犬·恐怖谷》《最后的致意》《福尔摩斯案件簿》，囊括阿瑟·柯南·道尔爵士创作的4部长篇小说及56部短篇小说。4部长篇包括从奠定夏洛克·福尔摩斯“基本演绎法”推理地位的《血字的研究》到充满冒险意味，让福尔摩斯跟华生医生九死一生的《巴斯克维尔的猎犬》；从充满人性丑恶的《四签名》到令人唏嘘的《恐怖谷》。56部短篇则展现了更多福尔摩斯丰富的探案经历：有他的宿敌莫里亚蒂的首次登场及最终对决；有他唯一欣赏过的女性艾琳·艾德勒的机智应对；有他决心退隐却因为内心强烈的使命感驱使不得不重新出山的故事；也有他跟政治家们和罪犯间斗智斗勇的种种。,https://wfqqreader-1252317822.image.myqcloud.com/cover/0/26408000/t6_26408000.jpg
176,安迪·威尔,挽救计划,95.2%,541,一趟孤注一掷的太空远征，一座没有尽头的科学迷宫。一次争分夺秒的冒险营救，一段跨越星际的真挚友谊。浩瀚宇宙中，瑞恩·格雷斯是整个人类文明仅存的希望。但在醒来的那一刻，他连自己的名字都不记得。他在未知的恐惧中寻找身份，从记忆的碎片中获取线索。这个肩负拯救地球重任的关键人物，现已命悬一线！人类文明究竟能否存续？在这场“挽救计划”里，一切都充满了挑战……,https://wfqqreader-1252317822.image.myqcloud.com/cover/356/41100356/t6_41100356.jpg
177,王兴,病人家属，请来一下（译文科学）,96.5%,400,家人得了癌症，我该怎么办？如何选择合适的医院和医生？如何跟医生有效沟通？要不要告诉家人他得癌症了？癌症病人饮食有哪些禁忌？工薪阶层该如何有效应对癌症带来的经济压力？什么时候该放弃治疗？临终关怀该怎么做？本书是一名临床经验丰富的肿瘤科主治医生为癌症病人家属写的书，作者通过一个个生动真实的故事，以幽默诙谐而不乏温情的叙述，解答了癌症病人及家属广泛关注的困惑和问题：如何正确就医？如何与医生交流？如何决定合理的治疗方案，少走冤枉路、少花冤枉钱？如何正确看待癌症？怎样调整生活方式和心态？掌握哪些护理技巧可以帮助患者减轻痛苦、早日康复？如果大限来临，应该做些什么准备？……作者王兴，北京大学肿瘤学博士。先后任北京大学肿瘤医院胸外科主治医师、上海市肺科医院胸外科博士后、上海市第一人民医院胸外科主治医师。长期受邀担任中央电视台《健康之路》节目明星演示嘉宾。荣获《健康报》2017年度“健康传播影响力人物”称号。已出版作品有《肺话》《怪医笔记》《癌症病人怎么吃》《胸腺外科学》（英文版）等，其中《癌症病人怎么吃》还出版了繁体中文版。,https://wfqqreader-1252317822.image.myqcloud.com/cover/695/41396695/t6_41396695.jpg
178,罗大伦,女性养生三步走：疏肝、养血、心要修,88.8%,648,女性养生可以分为三步：第一步疏肝气女性绝大多数疾病都是肝气郁结造成的，原因是压力大，爱生气，总憋屈，时间一长自然就憋出了病。肝气郁结，会由内而外、全面地损害女性的健康，所以，女性养生，疏肝气是头等大事。第二步养阴血女性是靠血来滋养的，血液一亏，百病丛生。由于月经、流产和分娩等很容易耗伤阴血，所以女性血虚和瘀血的情况非常普遍，这是造成许多妇科疾病的另一大原因。遇到这种情况，就可以通过补血和活血化瘀来治疗。第三步修心性很多女性患病并不是因为身体，而是因为心性。其实，肝气郁结很大一部分原因就在于心性不够宽广，遇事想不开，爱钻牛角尖。古人说：“祸福无门，唯人自召。”疾病也是一样，如果您心性好，站得高，看得远，想得开，活得透，肝气调和畅达，正气内存，疾病就不会找上您。,https://wfqqreader-1252317822.image.myqcloud.com/cover/854/33800854/t6_33800854.jpg
179,周秉德,我的伯父周恩来,93.8%,629,周恩来，这是一个光荣的名字，这是一个不朽的名字。周恩来总理的革命生涯，是同中国共产党的建立、发展、壮大，同我国新民主主义革命的胜利，同我国社会主义革命和建设的历史进程紧密联系在一起的，他身上集中体现了中国共产党人的高风亮节，其独特的人格魅力得到世界各国人民的拥戴，在全世界人民心中矗立起一座不朽的丰碑，《我的伯父周恩来》作为第一部亲人回忆周恩来总理的作品，力求把那些不为人知的历史、把关于伟人的真实情形原原本本地告诉读者。,https://wfqqreader-1252317822.image.myqcloud.com/cover/923/28276923/t6_28276923.jpg
180,凯特·柯克帕特里克,成为波伏瓦,90.2%,1122,这本传记是在新近披露的波伏瓦信件、波伏瓦早期日记和给情人克洛德·朗兹曼的信之后的全新波伏瓦传记，它将让我们重新看待波伏瓦和让-保罗·萨特的关系。《成为波伏瓦》是根据近几年新曝光的波伏瓦信件、早期日记等材料撰写的波伏瓦全新传记。“女人不是天生的，而是后天成为的。”波伏瓦如是说。这本开创性的传记引入波伏瓦此前从未被出版的日记和信件等全新材料，把她从萨特的阴影中拉出来，使她站在属于自己的聚光灯下。这本传记将为读者呈现一个更为真实立体的波伏瓦，也让我们重新看待波伏瓦和萨特的关系。本书还将呈现很多此前不为人所知的波伏瓦的个人细节，这些新的细节会增强波伏瓦的神秘感，也会使我们对波伏瓦更加着迷。这本书将呈现很多此前不为人所知的波伏瓦个人细节，这些新的细节会增强波伏瓦的神秘感，也会使我们对波伏瓦更加着迷。为什么这位“女性主义偶像”要着力打造自己的形象？为什么关于她和萨特的关系她会频频撒谎，或是声称自己不是一个哲学家？带着这些新的细节，我们能更进一步地去认识真正的波伏瓦。,https://wfqqreader-1252317822.image.myqcloud.com/cover/35/36968035/t6_36968035.jpg
