order,author,Book_name,recommend,Reading_people,info,cover
101,渤海小吏,舍不得看完的中国史,89.4%,2863,在我们的记忆里，所有对历史的记忆，归根结底都是战争。所有的兴衰、偶然、动机、谋略、经济、天灾，在万事俱备下导演出了这一场场改变历史的战争；也是这一场场的战争，将我们对于历史的所有看法、印象、调侃、想象，全部浓缩，作者通过这些描写，串联起中国古代历史的脉络。《舍不得看完的中国史：秦并天下》以三家分晋到秦朝统一天下的历史兴衰为纲，通过十二场著名战役来讲述历史。读到最后，我们发现，历史中有太多的不得已。亡国之君不一定都混蛋，奸佞当道不见得就那么可恨，忠臣孝子也都得扒开来看。当初他们在做选择时，做那些决定家国兴衰黎民生死的事情时，有很多的不得已，没有一个重大选择是轻松的。读到最后，我们难免会设身处地地想，如果未来你面对这种情况时，你会怎么选，以及选完后的结局走向。,https://wfqqreader-1252317822.image.myqcloud.com/cover/846/34560846/t6_34560846.jpg
102,余华,在细雨中呼喊（第3版）,81.1%,3396,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊》的结构来自于对时间的感受，确切地说是对记忆中的时间的感受，叙述者天马行空地在过去、现在和将来这三个时间维度里自由穿行，将忆记的碎片穿插、结集、拼嵌完整。,https://wfqqreader-1252317822.image.myqcloud.com/cover/467/834467/t6_834467.jpg
103,白先勇,孽子,88.8%,594,白先勇唯一的一部长篇小说《孽子》，以同性恋为题材，全书共分为四章，依次是“放逐”、“在我们的王国里”、“安乐乡”、“那些青春鸟的行旅”，描写了上个世纪六七十年代生活在台北的一群为家庭所弃、为社会所遗的“孽子”。白先勇题记：“写给那一群，在最深最深的黑夜里，独自彷徨街头，无所依归的孩子们。”其中父子冲突的主题，亦令人印象深刻。,https://wfqqreader-1252317822.image.myqcloud.com/cover/985/860985/t6_860985.jpg
104,沈从文,边城,83.9%,964,《边城》是沈从文的代表作，是一部中篇小说，凭此书一举奠定了其在文学史上的重要地位。书中寄托着作者关于“美”与“爱”的美学理想，是较能表现人性美的一部作品。小说以20世纪30年代川湘交界的边城小镇茶峒为背景，以兼具抒情诗和小品文的优美笔触，描绘了湘西边城淳朴的世道民风和天然的生活状态。全书共二十一个章节，每个章节都似一幅或浓或淡的水墨画，以古朴清新的语言，表现出一种“优美、健康、自然而又不悖乎人性的人生形式”。,https://wfqqreader-1252317822.image.myqcloud.com/cover/628/23433628/t6_23433628.jpg
105,罗翔,刑法学讲义（法律男神罗翔的刑法普及课）,91.3%,713,全网爆红的“法律男神”罗翔教授为每一位普通读者写的刑法普及讲义。刑法与每个人的生活都密不可分，家庭、校园、职场、人际关系、经济活动处处都有违法犯罪行为，相应地，每个人都需要学习刑法。罗翔让本来枯燥专业的刑法课变得“津津有味”，读者直呼上头，“根本停不下来”。刑法常识结合法理精神，兼具法律与人文的力量。本书为读者提供了相对完整的刑法学习体系，涵盖刑法演变、犯罪论、刑罚论，以及具体罪名的定罪量刑。全书通过分析真实刑法案件、张三的犯罪行为，激发读者用独立、睿智的法学思维去看待生活，提高法律感知能力。最后，每一位读者都能带着法学思维回归到工作、生活中去。,https://wfqqreader-1252317822.image.myqcloud.com/cover/295/32746295/t6_32746295.jpg
106,斯蒂芬·金,肖申克的救赎（同名电影原著）,85.5%,485,同名电影在imdb top250和豆瓣电影top250中双居第一。本书是斯蒂芬·金受人喜爱的代表作，收录了他的四部中篇小说。其英文版一经推出，即登上《纽约时报》畅销书排行榜的冠军之位，当年在美国狂销二十八万册。这本书已被翻译成三十一种语言，并且四篇小说中有三篇被改编成轰动一时的电影，其中为人津津乐道的便是曾获奥斯卡奖七项提名、被誉为电影史上完美影片之一的《肖申克的救赎》。这部小说展现了斯蒂芬·金于擅长的惊悚题材之外的过人功力。书中的另两篇小说《纳粹高徒》与《尸体》拍成电影后也赢得了很好的口碑。其中《尸体》还被视为斯蒂芬·金具自传色彩的作品。,https://wfqqreader-1252317822.image.myqcloud.com/cover/501/24444501/t6_24444501.jpg
107,乔治·奥威尔,1984,88.1%,3202,《1984》是一部伟大的政治寓言。1984年的世界被三个超级大国瓜分，三个国家之间战争不断，国家内部社会结构被彻底打破，均实行高度集权统治，以改变历史、改变语言、打破家庭等极端手段钳制人们的思想和本能，并用高科技手段监视控制人们的行为，以对领袖的个人崇拜和对国内外敌人的仇恨维持社会的运转。,https://wfqqreader-1252317822.image.myqcloud.com/cover/867/758867/t6_758867.jpg
108,加缪,鼠疫,82.8%,1458,本书选录的《鼠疫》和《局外人》（1942）是加缪最重要的代表作，均被列为现代世界文学名著。《鼠疫》的背景是北非地中海地区的一座商业城市，加缪在小说中用细致的笔触描写了在这座爆发瘟疫的孤城里人们的孤独，恐惧、焦虑、痛苦、挣扎和斗争。《局外人》描写讲述了一个叫莫索特的年轻人从安葬母亲之后，一直到因为防卫过当致人死亡入狱后被判死刑的过程，小说以冷静而单调的语言描写了莫索特的内心世界。,https://wfqqreader-1252317822.image.myqcloud.com/cover/156/815156/t6_815156.jpg
109,于娟,此生未完成,85.8%,784,这是一本记录关于生命与生活思索的书，写给内心柔软却迷路人间的你：我们要用多大的代价，才能认清活着的意义！一再提醒我们的，就是好好把握当下，以不会令自己将来后悔的方式去生活。书中收录了作者癌症治疗的经历、对人生的理解、对自己忙碌前半生的一些回忆与反思。以及关于故乡、关于亲情等的深切感悟。在病隙日记中，作者反省自己不良的生活习惯和生活细节，以生死经历总结出许多富有哲理的人生观点，以乐观、豁达的生活态度不断与命运抗争，令人重新审视“活着的意义”，理性看待死亡，珍惜生命，珍惜感情，珍惜生活。,https://wfqqreader-1252317822.image.myqcloud.com/cover/39/28221039/t6_28221039.jpg
110,季羡林,时间从来不语，却回答了所有问题,89.8%,3732,这本《时间从来不语，却回答了所有问题》分为5个部分，40篇文章，分别从对时间流逝的坦然、对人生意义的思考，对社会现象的看法，对真实自我的表达，对人间真情的热爱，传递出季羡林先生的人生观和价值观。季羡林先生是当代当之无愧的文学巨擘，在世事沉浮中始终坚守自己的精神世界，顺境不骄，逆境不惧。与大师共语，品味人生百味，这些文章涉及季老生活的方方面面，是他一生经历的缩影，经过岁月的沉淀和发酵，诠释出大师的百年智慧。季羡林对人生的参悟和豁达的处事态度，或许我们还难以抵达，但我们仍能不停追寻。,https://wfqqreader-1252317822.image.myqcloud.com/cover/63/41493063/t6_41493063.jpg
